address,checkins,city,country,created,distance,group_id,group_photo,icon,latitude,longitude,pid,place_id,title,type,updated,description,geocoded,kind,lat,lng,precision,request,response_status,dist,xcoord,ycoord
улица Депутатская 9,15,,,1404553153,293,,,https://vk.com/images/places/place.png,59.974945,30.276398,8958034,8958034,Английский гребной клуб,21,1502743326,"Санкт-Петербург, Россия","Санкт-Петербург, Депутатская улица, 9",house,30.276073,59.974959,exact,"Санкт-Петербург, улица Депутатская 9",OK,0.000325301398709565,347979.449807923,6651752.03877533
Крестовки реки набережная 10,83,,,1388495609,101,,,https://vk.com/images/places/place.png,59.976669,30.274629,7320098,7320098,Новая сцена БДТ им.Товстаногова,21,1516827561,"Санкт-Петербург, Россия","Санкт-Петербург, набережная реки Крестовки, 10",house,30.275399,59.976697,exact,"Санкт-Петербург, Крестовки реки набережная 10",OK,0.000770508922724779,347949.819155764,6651947.03498592
Крестовки реки набережная 10,15,,,1388495667,101,,,https://vk.com/images/places/place.png,59.976669,30.274629,7320106,7320106,Новая сцена БДТ,21,1508095135,"Санкт-Петербург, Россия","Санкт-Петербург, набережная реки Крестовки, 10",house,30.275399,59.976697,exact,"Санкт-Петербург, Крестовки реки набережная 10",OK,0.000770508922724779,347949.819155764,6651947.03498592
"Полевая Сабировская ул. 37, 3325404, 4301250",10,2,1,1391157536,339,49678352,https://pp.userapi.com/c627716/v627716876/25ab5/_wsPKOCdziQ.jpg,https://vk.com/images/places/place.png,59.99039,30.27831,4693136,4693136,TOP SERVICE,21,1506296326,"Санкт-Петербург, Россия","Санкт-Петербург, Полевая Сабировская улица, 37",house,30.278211,59.990462,exact,"Санкт-Петербург, Полевая Сабировская ул. 37, 3325404, 4301250",OK,0.000122413234573854,348169.755528057,6653472.68353536
"Богатырский просп., 11",11,,,1391449953,257,,,https://vk.com/images/places/place.png,59.99977,30.27731,7634085,7634085,"Богатырский проспект, 15",21,1512241693,"Санкт-Петербург, Россия","Санкт-Петербург, Богатырский проспект, 11",house,30.277824,59.999507,exact,"Санкт-Петербург, Богатырский просп., 11",OK,0.000577377692677019,348189.628159092,6654480.32391954
ул. Байконурская 14,130,2,1,1280742549,123,,,https://vk.com/images/places/cinema.png,60.002193,30.272776,11301,11301,КАРО Фильм - Континент на Байконурской,5,1515873625,"Санкт-Петербург, Россия","Санкт-Петербург, Байконурская улица, 14",house,30.272497,60.002288,exact,"Санкт-Петербург, ул. Байконурская 14",OK,0.000294730385266043,347905.434905087,6654802.10203129
улица Байконурская 14А,60,,,1489546578,136,,,https://vk.com/images/places/place.png,60.002303,30.273086,17674568,17674568,Спортлайф Байкануркая,21,1514909099,"Санкт-Петербург, Россия","Санкт-Петербург, Байконурская улица, 14",house,30.272497,60.002288,number,"Санкт-Петербург, улица Байконурская 14А",not exact precison,0.000589190970740497,347905.434905087,6654802.10203129
"Байконурская ул., 14А",20,,,1452089461,126,,,https://vk.com/images/places/place.png,60.00222,30.272771,13794354,13794354,Каток в Континенте,21,1516283041,"Санкт-Петербург, Россия","Санкт-Петербург, Байконурская улица, 14",house,30.272497,60.002288,number,"Санкт-Петербург, Байконурская ул., 14А",not exact precison,0.000282311884270551,347905.434905087,6654802.10203129
"ул. Байконурская, д. 14А, ТЦ ""КОНТИНЕНТ""",10,2,1,1450981740,119,110180998,https://pp.userapi.com/c633920/v633920902/7fbf/MP-i1epztf4.jpg,https://vk.com/images/places/place.png,60.002148,30.272623,13700058,13700058,"Трогательный зоопарк ""Континент""",21,1510487871,"Санкт-Петербург, Россия","Санкт-Петербург, Байконурская улица, 14",house,30.272497,60.002288,number,"Санкт-Петербург, ул. Байконурская, д. 14А, ТЦ ""КОНТИНЕНТ""",not exact precison,0.000188350736661461,347905.434905087,6654802.10203129
Байконурская 13К2,35,2,1,1280742123,201,,,https://vk.com/images/places/restaraunt.png,60.002333,30.276225,6590,6590,Лео,3,1513963667,"Санкт-Петербург, Россия","Санкт-Петербург, Байконурская улица, 13к2",house,30.276181,60.002391,exact,"Санкт-Петербург, Байконурская 13К2",OK,7.2801098900102e-05,348111.261780323,6654805.09956958
"Байконурская ул.,13/2, Clubleo.ru   ""Лео Клуб""",15,2,1,1437916763,194,510953,https://pp.userapi.com/c837124/v837124489/56ca6/LqzdcBhik6Y.jpg,https://vk.com/images/places/place.png,60.0024,30.276136,12438596,12438596,"Клуб-ресторан ""Лео!""",21,1513973421,"Санкт-Петербург, Россия","Санкт-Петербург, Байконурская улица, 13к2",house,30.276181,60.002391,exact,"Санкт-Петербург, Байконурская ул.,13/2, Clubleo.ru   ""Лео Клуб""",OK,4.58911756221306e-05,348111.261780323,6654805.09956958
Испытателей проспект 22к1,10,,,1477068945,64,,,https://vk.com/images/places/place.png,60.00524,30.273622,16403199,16403199,Проспект Сизова 9,21,1514142936,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Испытателей, 22",house,30.273728,60.00545,number,"Санкт-Петербург, Испытателей проспект 22к1",not exact precison,0.000235236051662245,347988.567963009,6655151.21713349
Сизова проспект,15,,,1401300057,76,,,https://vk.com/images/places/place.png,60.008842,30.274071,8644510,8644510,Сизова 20 к1,21,1466861529,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Сизова",street,30.27433,60.008212,street,"Санкт-Петербург, Сизова проспект",not exact precison,0.000681161508010877,348034.797442465,6655457.25734985
улица Байконурская 19к1,15,,,1400596466,270,,,https://vk.com/images/places/place.png,60.009059,30.277584,8578415,8578415,Байконурская 19,21,1513879607,"Санкт-Петербург, Россия","Санкт-Петербург, Байконурская улица, 19к1",house,30.277438,60.008936,exact,"Санкт-Петербург, улица Байконурская 19к1",OK,0.00019090573589869,348211.332482223,6655530.703996
просп. Сизова 28,10,2,1,1280742078,129,,,https://vk.com/images/places/restaraunt.png,60.012642,30.275049,2389,2389,Пулково-3,3,1508568629,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Сизова, 28",house,30.274923,60.012687,exact,"Санкт-Петербург, просп. Сизова 28",OK,0.000133794618725031,348088.380420272,6655953.98407978
"просп. Королёва, д. 23",18,2,1,1288690517,288,,,https://vk.com/images/places/pool.png,60.012777,30.277914,176491,176491,Бассейн СДЮШОР,15,1512903850,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Королёва, 23",house,30.277824,60.01271,exact,"Санкт-Петербург, просп. Королёва, д. 23",OK,0.000112200713019697,348250.143486633,6655949.88316358
Сизова проспект 21,45,,,1386512085,309,,,https://vk.com/images/places/place.png,60.013843,30.278341,7140439,7140439,Байконурская 24,21,1515700422,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Сизова, 21",house,30.278175,60.014796,exact,"Санкт-Петербург, Сизова проспект 21",OK,0.00096734947148277,348279.263484555,6656181.26008865
"просп. Сизова, 21",30,,,1452450206,282,,,https://vk.com/images/places/place.png,60.014953,30.277664,13833637,13833637,ЖК Синяя Птица,21,1515974774,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Сизова, 21",house,30.278175,60.014796,exact,"Санкт-Петербург, просп. Сизова, 21",OK,0.000534574597230743,348279.263484555,6656181.26008865
Народного Ополчения проспект 35,11,,,1447013775,159,,,https://vk.com/images/places/place.png,59.847174,30.278563,13325440,13325440,Санкт- Питербург Ленинский проспект Народного ополчения 35,21,1514748900,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Народного Ополчения, 35",house,30.278498,59.8472,exact,"Санкт-Петербург, Народного Ополчения проспект 35",OK,7.00071424914837e-05,347529.872234949,6637526.41557109
Народного Ополчения проспект 16А,22,,,1388326369,182,,,https://vk.com/images/places/place.png,59.848541,30.2815,7306928,7306928,Ул.бульвар Новаторов д32 fitness house,21,1507459652,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Народного Ополчения, 16А",house,30.280816,59.848638,exact,"Санкт-Петербург, Народного Ополчения проспект 16А",OK,0.000690843687099451,347666.261238735,6637681.13574188
"пр. Народного ополчения, 10",85,,,1383179297,158,,,https://vk.com/images/places/place.png,59.850134,30.28132,6813863,6813863,ЖК СОВРЕМЕННИК,21,1516471830,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Народного Ополчения, 10",house,30.281391,59.850906,exact,"Санкт-Петербург, пр. Народного ополчения, 10",OK,0.000775258021575895,347708.826886658,6637932.2487689
"Проспект Народного ополчения, 6, Фитнес клуб",12,2,1,1425607723,245,85533626,https://vk.com/images/deactivated_50.png,https://vk.com/images/places/place.png,59.852859,30.282029,11186586,11186586,Фитнес-клуб Fitness One,21,1512315808,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Народного Ополчения, 6",house,30.282029,59.852859,exact,"Санкт-Петербург, Проспект Народного ополчения, 6, Фитнес клуб",OK,7.94410929039127e-15,347753.476679794,6638148.15696341
"Ленинский проспект, д. 140 лит А, Роллердром Skate Town",33,2,1,1449187442,317,56848097,https://pp.userapi.com/c618029/v618029721/1ea44/6jC0ZHwbBO4.jpg,https://vk.com/images/places/place.png,59.852375,30.284107,6143804,6143804,"СкейтТаун - сеть роллердромов ""Skate Town""",21,1513341504,"Санкт-Петербург, Россия","Санкт-Петербург, Ленинский проспект, 140А",house,30.283699,59.852606,exact,"Санкт-Петербург, Ленинский проспект, д. 140 лит А, Роллердром Skate Town",OK,0.000468854988246013,347845.831294582,6638116.1596761
"пр. Народного Ополчения, д. 6",57,2,1,1445951878,185,105222651,https://vk.com/images/c_null.gif,https://vk.com/images/places/place.png,59.853253,30.282115,13225244,13225244,FITNESS ONE Путиловский ДИСКОНТ,21,1515328686,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Народного Ополчения, 6",house,30.282029,59.852859,exact,"Санкт-Петербург, пр. Народного Ополчения, д. 6",OK,0.000403276580036758,347753.476679794,6638148.15696341
"Автовская ул., 35А, Такси «ТаксовичкоФ»",105,2,1,1441098228,145,70270286,https://pp.userapi.com/c841134/v841134008/5ca0f/lJe6fCSfgZw.jpg,https://vk.com/images/places/place.png,59.876888,30.279819,8344389,8344389,Такси ТаксовичкоФ,21,1516122834,"Санкт-Петербург, Россия","Санкт-Петербург, Автовская улица, 35А",house,30.279819,59.876888,exact,"Санкт-Петербург, Автовская ул., 35А, Такси «ТаксовичкоФ»",OK,0,347739.626408251,6640827.74311256
улица Швецова 23,12,,,1379309030,302,,,https://vk.com/images/places/place.png,59.89613,30.282992,6451321,6451321,Швецова 23,21,1514547002,"Санкт-Петербург, Россия","Санкт-Петербург, улица Швецова, 23А",house,30.283205,59.895479,number,"Санкт-Петербург, улица Швецова 23",not exact precison,0.0006849598528423,348014.023331632,6642889.20759125
"Ивана Черных ул. дом 31, Joker Auto",16,2,1,1446461444,332,21206424,https://pp.userapi.com/c636029/v636029085/3385f/QsgaxWl__ek.jpg,https://vk.com/images/places/place.png,59.9021,30.28475,2736052,2736052,JOKER AUTO - Автосервис,21,1507476592,"Санкт-Петербург, Россия","Санкт-Петербург, улица Ивана Черных, 31",house,30.28475,59.9021,exact,"Санкт-Петербург, Ивана Черных ул. дом 31, Joker Auto",OK,0,348130.65991026,6643622.60452675
Staro-Petergofskiy prospekt 34,376,,,1412761214,271,,,https://vk.com/images/places/place.png,59.905992,30.280778,9791174,9791174,Leona Stage,21,1516582692,"Санкт-Петербург, Россия","Санкт-Петербург, Старо-Петергофский проспект, 34к407",house,30.280627,59.905561,number,"Санкт-Петербург, Staro-Petergofskiy prospekt 34",not exact precison,0.000456685887685422,347915.96879544,6644017.29250209
Старо-Петергофский 30,13,,,1387800290,232,,,https://vk.com/images/places/place.png,59.90584,30.278359,7261733,7261733,ЦСКО Сбербанка,21,1479108520,"Санкт-Петербург, Россия","Санкт-Петербург, Старо-Петергофский проспект, 30к1",house,30.277789,59.905073,number,"Санкт-Петербург, Старо-Петергофский 30",not exact precison,0.000955609229764762,347755.075331534,6643969.49984197
Обводного Канала набережная 201,49,,,1378649378,335,,,https://vk.com/images/places/place.png,59.908684,30.284338,6392866,6392866,Фото Студия Попкорн,21,1515274149,"Санкт-Петербург, Россия","Санкт-Петербург, набережная Обводного канала, 199-201А",house,30.28422,59.909567,near,"Санкт-Петербург, Обводного Канала набережная 201",not exact precison,0.000890849594490113,348135.136241573,6644454.92689379
Обводного Канала набережная 203,16,,,1385485906,230,,,https://vk.com/images/places/place.png,59.909747,30.282867,7041138,7041138,Набережная обводного канала 203,21,1490889021,"Санкт-Петербург, Россия","Санкт-Петербург, набережная Обводного канала, 203",house,30.283412,59.909585,exact,"Санкт-Петербург, Обводного Канала набережная 203",OK,0.000568567498191565,348090.052437038,6644458.78436062
улица Курляндская 36,22,,,1380274972,246,,,https://vk.com/images/places/place.png,59.911528,30.277727,6539200,6539200,Свет востока,21,1514546663,"Санкт-Петербург, Россия","Санкт-Петербург, Курляндская улица, 36-38",house,30.277133,59.911502,number,"Санкт-Петербург, улица Курляндская 36",not exact precison,0.000594568751277045,347747.846066691,6644686.57974608
"Обводного Канала наб. 199-201, Pole Dance - НОВЫЙ стиль жизни",34,2,1,1369760550,355,523697,https://pp.userapi.com/c633921/v633921618/10741/nG7gTNuox5c.jpg,https://vk.com/images/places/place.png,59.909711,30.285146,5615270,5615270,Pole Dance Style - Танец на пилоне,21,1510764509,"Санкт-Петербург, Россия","Санкт-Петербург, набережная Обводного канала, 199-201А",house,30.28422,59.909567,number,"Санкт-Петербург, Обводного Канала наб. 199-201, Pole Dance - НОВЫЙ стиль жизни",not exact precison,0.000937129660185406,348135.136241573,6644454.92689379
Рижский проспект 44,11,,,1367681662,256,,,https://vk.com/images/places/place.png,59.912934,30.28193,5390128,5390128,Рижский пр. д. 42,21,1501090489,"Санкт-Петербург, Россия","Санкт-Петербург, Рижский проспект, 44",house,30.28149,59.913266,exact,"Санкт-Петербург, Рижский проспект 44",OK,0.000551202322199384,347999.448153304,6644872.90624251
Рижский проспект 23,13,,,1478974927,252,,,https://vk.com/images/places/place.png,59.913941,30.28303,16608113,16608113,Театр мимигранты,21,1516463501,"Санкт-Петербург, Россия","Санкт-Петербург, Рижский проспект, 23",house,30.282639,59.913663,exact,"Санкт-Петербург, Рижский проспект 23",OK,0.000479755145883017,348065.483121753,6644914.45596709
Старо-Калинкин мост,28,,,1394483667,160,,,https://vk.com/images/places/place.png,59.916386,30.279545,7949876,7949876,Старо-Калинкин мост,21,1512481507,"Санкт-Петербург, Россия","Санкт-Петербург, Старо-Калинкин мост",street,30.279343,59.916428,street,"Санкт-Петербург, Старо-Калинкин мост",not exact precison,0.000206320139587129,347893.918720873,6645229.78110881
Фонтанки реки набережная 154,31,,,1381211754,234,,,https://vk.com/images/places/place.png,59.91625,30.282172,6622902,6622902,Медицинский ценр им.Пирогова,21,1512967895,"Санкт-Петербург, Россия","Санкт-Петербург, набережная реки Фонтанки, 154",house,30.28255,59.915765,exact,"Санкт-Петербург, Фонтанки реки набережная 154",OK,0.000614905683823704,348070.117477304,6645148.62118355
Канала Грибоедова набережная 176,18,,,1446533497,207,,,https://vk.com/images/places/place.png,59.917376,30.282375,13277780,13277780,Hotel Courtyard Marriott,21,1510953800,"Санкт-Петербург, Россия","Санкт-Петербург, набережная канала Грибоедова, 176",house,30.28237,59.91756,exact,"Санкт-Петербург, Канала Грибоедова набережная 176",OK,0.000184067922243355,348068.263670141,6645348.82499924
"Ул. Римского-Корсакова, д. 103, (вход с ул. Мясная д. 26)., Даосский центр ""ДаоДэ""",23,2,1,1348465358,251,15629593,https://pp.userapi.com/c308921/g15629593/e_ff82c8f6.jpg,https://vk.com/images/places/place.png,59.918677,30.28148,2753172,2753172,"ЦИГУН, ЙОГА",21,1489937568,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Римского-Корсакова, 103",house,30.281642,59.918823,exact,"Санкт-Петербург, Ул. Римского-Корсакова, д. 103, (вход с ул. Мясная д. 26)., Даосский центр ""ДаоДэ""",OK,0.000218082553172034,348033.354914831,6645491.07318607
Канала Грибоедова набережная 170,10,,,1408572611,322,,,https://vk.com/images/places/place.png,59.917989,30.284133,9346782,9346782,Нпбережная канала Грибоедова 170,21,1507304945,"Санкт-Петербург, Россия","Санкт-Петербург, набережная канала Грибоедова, 170",house,30.283708,59.918553,exact,"Санкт-Петербург, Канала Грибоедова набережная 170",OK,0.000706201812518689,348147.57540099,6645456.27943424
"Римского-Корсакова пр. 93, кв.6",11,2,1,1494523963,244,134692922,https://pp.userapi.com/c639223/v639223496/430ee/cTNL4b-OaA4.jpg,https://vk.com/images/places/place.png,59.919428,30.282963,16813707,16813707,Творческая квартира РИМКОР,21,1515836982,"Санкт-Петербург, Россия","Санкт-Петербург, проспект Римского-Корсакова, 93",house,30.282963,59.919428,exact,"Санкт-Петербург, Римского-Корсакова пр. 93, кв.6",OK,0,348109.941617708,6645555.37990104
"Наб. канала Грибоедова, 166",34,,,1398865841,316,,,https://vk.com/images/places/place.png,59.919028,30.284452,8414365,8414365,Дворец бракосочетания 4,21,1505716398,"Санкт-Петербург, Россия","Санкт-Петербург, набережная канала Грибоедова, 166",house,30.28458,59.918963,exact,"Санкт-Петербург, Наб. канала Грибоедова, 166",OK,0.000143558350502624,348198.178665857,6645499.91387239
Канала Грибоедова набережная 168,18,,,1403389660,306,,,https://vk.com/images/places/place.png,59.918746,30.284303,8849805,8849805,Канал грибоедова 16,21,1516480371,"Санкт-Петербург, Россия","Санкт-Петербург, набережная канала Грибоедова, 168",house,30.28414,59.918805,exact,"Санкт-Петербург, Канала Грибоедова набережная 168",OK,0.000173349358236646,348172.86837889,6645483.33703616
Канала Грибоедова набережная 166,15,,,1389267547,324,,,https://vk.com/images/places/place.png,59.918957,30.284598,7393128,7393128,Дворец бракосочетания  4,21,1438687027,"Санкт-Петербург, Россия","Санкт-Петербург, набережная канала Грибоедова, 166",house,30.28458,59.918963,exact,"Санкт-Петербург, Канала Грибоедова набережная 166",OK,1.89736659636624e-05,348198.178665857,6645499.91387239
Канала Грибоедова набережная 164,15,,,1367597864,374,,,https://vk.com/images/places/place.png,59.918814,30.285525,5381127,5381127,Петергов,21,1511041379,"Санкт-Петербург, Россия","Санкт-Петербург, набережная канала Грибоедова, 164",house,30.284939,59.919148,exact,"Санкт-Петербург, Канала Грибоедова набережная 164",OK,0.000674501297248699,348219.08555933,6645519.68183376
"Канонерская, 33",12,,,1503822638,370,,,https://vk.com/images/places/place.png,59.918604,30.285436,18934990,18934990,"Courtyard by Marriott Pushkin, St. Petersburg",21,1516830720,"Санкт-Петербург, Россия","Санкт-Петербург, Канонерская улица, 33",house,30.286269,59.91894,exact,"Санкт-Петербург, Канонерская, 33",OK,0.000898212113032482,348292.459732689,6645493.48140546
Пряжки реки набережная 38,26,,,1465755683,151,,,https://vk.com/images/places/place.png,59.921829,30.279993,15216858,15216858,Кронштадтский морской собор во имя святителя Николая Чудотворца,21,1501875995,"Санкт-Петербург, Россия","Санкт-Петербург, набережная реки Пряжки, 38",house,30.280043,59.921818,exact,"Санкт-Петербург, Пряжки реки набережная 38",OK,5.11957029429717e-05,347957.702332463,6645828.10074976
Пряжки реки набережная 30,83,,,1370987192,304,,,https://vk.com/images/places/place.png,59.922915,30.28174,5735011,5735011,Red Stars hotel,21,1515158316,"Санкт-Петербург, Россия","Санкт-Петербург, набережная реки Пряжки, 30",house,30.282002,59.922792,exact,"Санкт-Петербург, Пряжки реки набережная 30",OK,0.000289435657783271,348071.620761998,6645932.01233614
Дровяной переулок 1,15,,,1401648186,263,,,https://vk.com/images/places/place.png,59.922334,30.282018,8679389,8679389,Набережная пряжки,21,1493438305,"Санкт-Петербург, Россия","Санкт-Петербург, Дровяной переулок, 1",house,30.281804,59.92244,exact,"Санкт-Петербург, Дровяной переулок 1",OK,0.000238813734952375,348058.947614675,6645893.28783779
